Prompt,Category
"Can you write a chatbot script for a travel agency website?",Chatbots and Virtual Assistants
"Create a conversation script for a job interview between a candidate and a hiring manager.",Conversation
"I'm feeling stressed about an upcoming presentation. Can you provide some tips for managing performance anxiety?",Mental health
"Generate a fantasy image of a dragon soaring through a storm.",Image Generation
"Create a short video showcasing the different features of a new smartphone.",Video Generation
"Compose a cheerful and upbeat pop song with a catchy melody.",Music Creation
"Generate a voiceover for an audiobook about the history of the universe.",Speech Generation
"Write a podcast script discussing the latest trends in social media marketing.",Podcast Content Creation
"Create a blog post about the importance of saving money and investing for the future.",Blog Writing
"Can you recommend some podcasts about the philosophy of life?",Podcasts
"Write a short story about a group of people trapped in an elevator during a power outage.",Storytelling and Narrative Creation
"Create a social media post promoting a new online course on photography.",Social Media Posts
"Write a product description for a luxury line of skincare products.",Product Descriptions
"Generate a list of relevant keywords for a website about sustainable fashion.",SEO Optimization
"Analyze the current trends in the cryptocurrency market.",Market Analysis
"Translate this poem from English to Spanish: 'Ode to a Nightingale'.",Translation
"Write a code snippet to create a basic web application.",Coding and Programming Assistance
"Develop an API to integrate a shopping cart into a website.",API Integration
"Analyze the data from a recent study on the effectiveness of a new medication.",Data Analysis
"Generate a financial report for a company's annual performance.",Financial Report Generation
"Create educational content for a website about the human body.",Educational Content Creation
"Can you suggest some language learning apps for learning French?",Language Learning Assistance
"Create a presentation about the importance of diversity and inclusion in the workplace.",Presentation Creation
"Write an email to a client thanking them for their business and providing an update on their order.",Email Generation
"Draft a legal document outlining the terms of a contract for a software development project.",Legal Document Drafting
"Generate a contract template for a consulting agreement.",Contract Generation
"Write a recipe for a delicious and easy vegetarian chili.",Recipe Generation
"Create a fitness and health plan for someone looking to improve their flexibility and range of motion.",Fitness and Health Plans Recommendations
"Help me solve this physics problem: 'Calculate the potential energy of a ball at a certain height'.",Homework Solutions
"Detect if this piece of writing was generated by AI or a human.",AI content detection
"Design a logo for a new online community for book lovers.",Branding and Logo Design
"Create a presentation about the history of the United States.",Presentation Creation
"Plan a travel itinerary for a 7-day backpacking trip through the Appalachian Trail.",Travel Itinerary Creation
"Plan an event for a local music festival.",Event Planning
"Write product descriptions for a range of sustainable and eco-friendly home goods.",Product Descriptions
"Give me personalized recommendations for books based on my reading history.",Personalized Recommendations
"Write a resume and cover letter for a job application as a software engineer.",Resume and Cover Letter Writing
"Create a job description for a content writer at a digital marketing agency.",Job Description Creation
"Analyze the data collected from a research paper on the impact of social media on mental health.",Research Paper Data
"Summarize the key points of this news article about the latest advancements in artificial intelligence.",Summarisations
"Generate a news article about the opening of a new museum.",News Article Generation
"Summarize this chapter from a science textbook.",Content Summarization
"Compose a short story about a lost dog who finds his way home.",Others
